[88/100][50/93]	Loss_D: 0.0000	Loss_G: 67.2879	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[89/100][0/93]	Loss_D: 0.0000	Loss_G: 67.0873	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[89/100][50/93]	Loss_D: 0.0000	Loss_G: 66.8236	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[90/100][0/93]	Loss_D: 0.0000	Loss_G: 67.1586	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[90/100][50/93]	Loss_D: 0.0000	Loss_G: 66.6391	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[91/100][0/93]	Loss_D: 0.0000	Loss_G: 66.2610	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[91/100][50/93]	Loss_D: 0.0000	Loss_G: 66.3513	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[92/100][0/93]	Loss_D: 0.0000	Loss_G: 66.1059	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[92/100][50/93]	Loss_D: 0.0000	Loss_G: 67.0030	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[93/100][0/93]	Loss_D: 0.0000	Loss_G: 66.6368	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[93/100][50/93]	Loss_D: 0.0000	Loss_G: 67.6416	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[94/100][0/93]	Loss_D: 0.0000	Loss_G: 66.1449	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[94/100][50/93]	Loss_D: 0.0000	Loss_G: 66.7371	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[95/100][0/93]	Loss_D: 0.0000	Loss_G: 66.7564	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[95/100][50/93]	Loss_D: 0.0000	Loss_G: 66.8894	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[96/100][0/93]	Loss_D: 0.0000	Loss_G: 66.5689	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[96/100][50/93]	Loss_D: 0.0000	Loss_G: 65.8102	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[97/100][0/93]	Loss_D: 0.0000	Loss_G: 66.1802	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[97/100][50/93]	Loss_D: 0.0000	Loss_G: 66.9641	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[98/100][0/93]	Loss_D: 0.0000	Loss_G: 67.0345	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[98/100][50/93]	Loss_D: 0.0000	Loss_G: 67.1887	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[99/100][0/93]	Loss_D: 0.0000	Loss_G: 67.1449	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[99/100][50/93]	Loss_D: 0.0000	Loss_G: 65.8944	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
